Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
,,,,,,,,,,
1,1,1,2,301,0.006622517,0.2,0,0.025137187,0.031748781,0.033112583
,,,,,,,,,,
1,1,2,1,301,0.003311258,0.006711409,0,0.00236377,0.002408725,0.493377483
,,,,,,,,,,
1,1,3,2,301,0.006622517,0.035714286,0,0.008217103,0.006699016,0.185430464
,,,,,,,,,,
1,1,4,5,301,0.016556291,0.105263158,0,0.022931025,0.019135672,0.157284768
,,,,,,,,,,
1,1,5,2,301,0.006622517,0.017857143,0,0.006722199,0.005557752,0.370860927
,,,,,,,,,,
1,2,1,3,1517,0.001976285,0.142857143,0,0.006932407,0.009572054,0.013833992
,,,,,,,,,,
1,2,2,4,1517,0.002635046,0.008264463,0,0.001916582,0.001466335,0.31884058
,,,,,,,,,,
1,2,3,4,1517,0.002635046,0.006993007,0,0.003745349,0.001594439,0.376811594
,,,,,,,,,,
1,2,4,2,1517,0.001317523,0.002583979,0,0.001210142,0.000763582,0.509881423
,,,,,,,,,,
1,2,5,5,1517,0.003293808,0.029850746,0,0.006607601,0.005418455,0.110342556
,,,,,,,,,,
1,3,1,4,357,0.011173184,0.0125,0,0.006821063,0.004385324,0.893854749
,,,,,,,,,,
1,3,2,4,357,0.011173184,0.021276596,0,0.008770635,0.00736288,0.525139665
,,,,,,,,,,
1,3,3,5,357,0.01396648,0.1,0,0.011578007,0.013009636,0.139664804
,,,,,,,,,,
1,3,4,1,357,0.002793296,0.003484321,0,0.000627983,0.001252686,0.801675978
,,,,,,,,,,
1,3,5,3,357,0.008379888,0.111111111,0,0.015304131,0.013399925,0.075418994
,,,,,,,,,,
1,4,1,2,838,0.00238379,0.004048583,0,0.001353163,0.001527841,0.588796186
,,,,,,,,,,
1,4,2,3,838,0.003575685,0.017094017,0,0.005657594,0.003359168,0.209177592
,,,,,,,,,,
1,4,3,1,838,0.001191895,0.090909091,0,0.005227988,0.009209252,0.013110846
,,,,,,,,,,
1,4,4,5,838,0.005959476,0.058823529,0,0.007177288,0.006288983,0.101311085
,,,,,,,,,,
1,4,5,2,838,0.00238379,0.007220217,0,0.002685621,0.002119751,0.330154946
,,,,,,,,,,
1,5,1,3,1649,0.001818182,0.004926108,0,0.001597852,0.000988498,0.369090909
,,,,,,,,,,
1,5,2,3,1649,0.001818182,0.007407407,0,0.003258389,0.001678892,0.245454545
,,,,,,,,,,
1,5,3,5,1649,0.003030303,0.058823529,0,0.006501613,0.005440361,0.051515152
,,,,,,,,,,
1,5,4,3,1649,0.001818182,0.055555556,0,0.003097172,0.005058795,0.032727273
,,,,,,,,,,
1,5,5,4,1649,0.002424242,0.004504505,0,0.00246448,0.001149207,0.538181818
,,,,,,,,,,
1,6,1,2,1657,0.001206273,0.003007519,0,0.001146282,0.000963993,0.401085645
,,,,,,,,,,
1,6,2,4,1657,0.002412545,0.006578947,0,0.002833716,0.001347544,0.366706876
,,,,,,,,,,
1,6,3,5,1657,0.003015682,0.066666667,0,0.004910698,0.00529378,0.045235223
,,,,,,,,,,
1,6,4,4,1657,0.002412545,0.005167959,0,0.002595755,0.001484901,0.466827503
,,,,,,,,,,
1,6,5,4,1657,0.002412545,0.016949153,0,0.004859631,0.002789422,0.142340169
,,,,,,,,,,
1,7,1,3,799,0.00375,0.013986014,0,0.005455112,0.002956299,0.268125
,,,,,,,,,,
1,7,2,3,799,0.00375,0.01754386,0,0.006937339,0.003386437,0.21375
,,,,,,,,,,
1,7,3,4,799,0.005,0.033333333,0,0.008113118,0.005478039,0.15
,,,,,,,,,,
1,7,4,5,799,0.00625,0.111111111,0,0.01034491,0.009584397,0.05625
,,,,,,,,,,
1,7,5,2,799,0.0025,0.043478261,0,0.005607975,0.005436459,0.0575
,,,,,,,,,,
1,8,1,2,926,0.002157497,0.1,0,0.008202484,0.010622275,0.021574973
,,,,,,,,,,
1,8,2,4,926,0.004314995,0.142857143,0,0.010265904,0.011596866,0.030204962
,,,,,,,,,,
1,8,3,5,926,0.005393743,0.1,0,0.011209737,0.009813723,0.053937433
,,,,,,,,,,
1,8,4,4,926,0.004314995,0.016129032,0,0.006165026,0.002914136,0.267529666
,,,,,,,,,,
1,8,5,2,926,0.002157497,0.083333333,0,0.004839324,0.008342504,0.025889968
,,,,,,,,,,
1,9,1,2,1372,0.001456664,0.001945525,0,0.000428063,0.000732397,0.748725419
,,,,,,,,,,
1,9,2,3,1372,0.002184996,0.026315789,0,0.004330433,0.003161848,0.083029862
,,,,,,,,,,
1,9,3,4,1372,0.002913328,0.009345794,0,0.003993826,0.0016453,0.311726147
,,,,,,,,,,
1,9,4,4,1372,0.002913328,0.166666667,0,0.008441651,0.015074081,0.017479971
,,,,,,,,,,
1,9,5,5,1372,0.003641661,0.003724395,0,0.000990877,0.00134374,0.97778587
,,,,,,,,,,
1,10,1,4,1478,0.00270453,0.1,0,0.007832323,0.007930634,0.027045301
,,,,,,,,,,
1,10,2,4,1478,0.00270453,0.013333333,0,0.003933719,0.001845862,0.202839757
,,,,,,,,,,
1,10,3,2,1478,0.001352265,0.002306805,0,0.001169518,0.000808728,0.586206897
,,,,,,,,,,
1,10,4,3,1478,0.002028398,0.058823529,0,0.004864886,0.005865025,0.034482759
,,,,,,,,,,
1,10,5,5,1478,0.003380663,0.005665722,0,0.00256217,0.001838379,0.596686951
,,,,,,,,,,
1,11,1,2,591,0.003378378,0.004149378,0,0.001127248,0.00153841,0.814189189
,,,,,,,,,,
1,11,2,4,591,0.006756757,0.017241379,0,0.006151691,0.003929535,0.391891892
