Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
,,,,,,,,,,
1,1,1,2,301,0.006622517,0.2,0,0.025137187,0.031748781,0.033112583
,,,,,,,,,,
1,1,2,1,301,0.003311258,0.006711409,0,0.00236377,0.002408725,0.493377483
,,,,,,,,,,
1,1,3,2,301,0.006622517,0.035714286,0,0.008217103,0.006699016,0.185430464
,,,,,,,,,,
1,1,4,5,301,0.016556291,0.105263158,0,0.022931025,0.019135672,0.157284768
,,,,,,,,,,
1,1,5,2,301,0.006622517,0.017857143,0,0.006722199,0.005557752,0.370860927
,,,,,,,,,,
Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
,,,,,,,,,,
1,2,1,3,1517,0.001976285,0.142857143,0,0.006932407,0.009572054,0.013833992
,,,,,,,,,,
1,2,2,4,1517,0.002635046,0.008264463,0,0.001916582,0.001466335,0.31884058
,,,,,,,,,,
1,2,3,4,1517,0.002635046,0.006993007,0,0.003745349,0.001594439,0.376811594
,,,,,,,,,,
1,2,4,2,1517,0.001317523,0.002583979,0,0.001210142,0.000763582,0.509881423
,,,,,,,,,,
1,2,5,5,1517,0.003293808,0.029850746,0,0.006607601,0.005418455,0.110342556
