Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness,,,
,,,,,,,,,,,,,
3,1,1,2,100,0.01980198,0.038461538,0,0.015183753,0.010317666,0.514851485,,,
,,,,,,,,,,,,,
3,1,2,2,100,0.01980198,0.052631579,0,0.020953906,0.012050137,0.376237624,,,
,,,,,,,,,,,,,
3,1,3,5,100,0.04950495,0.0625,0,0.034305264,0.020924348,0.792079208,,,
,,,,,,,,,,,,,
3,1,4,1,100,0.00990099,0.021276596,0,0.007805913,0.007455993,0.465346535,,,
,,,,,,,,,,,,,
3,1,5,3,100,0.02970297,0.05,0,0.028293308,0.014229733,0.594059406,,,
,,,,,,,,,,,,,
3,2,1,5,152,0.032679739,0.125,0,0.038064195,0.016931576,0.261437908,,,
,,,,,,,,,,,,,
3,2,2,3,152,0.019607843,0.033333333,0,0.016871828,0.010418556,0.588235294,,,
,,,,,,,,,,,,,
3,2,3,4,152,0.026143791,0.1,0,0.03119595,0.01656595,0.261437908,,,
,,,,,,,,,,,,,
3,2,4,4,152,0.026143791,0.032258065,0,0.018168849,0.011658662,0.810457516,,,
,,,,,,,,,,,,,
3,2,5,1,152,0.006535948,0.011111111,0,0.003549069,0.004248729,0.588235294,,,
,,,,,,,,,,,,,
3,3,1,5,130,0.038167939,0.125,0,0.041542787,0.01885535,0.305343511,,,
,,,,,,,,,,,,,
3,3,2,3,130,0.022900763,0.040540541,0,0.024311853,0.012734626,0.564885496,,,
,,,,,,,,,,,,,
3,3,3,3,130,0.022900763,0.02970297,0,0.012775099,0.010486027,0.770992366,,,
,,,,,,,,,,,,,
3,3,4,3,130,0.022900763,0.023076923,0,0.006183255,0.007367962,0.992366412,,,
,,,,,,,,,,,,,
3,3,5,2,130,0.015267176,0.032786885,0,0.014306566,0.010752599,0.465648855,,,
,,,,,,,,,,,,,
3,4,1,2,124,0.016,0.021276596,0,0.007495478,0.008173341,0.752,,,
,,,,,,,,,,,,,
3,4,2,2,124,0.016,0.142857143,0,0.031050282,0.022065254,0.112,,,
,,,,,,,,,,,,,
3,4,3,4,124,0.032,0.047058824,0,0.026119603,0.014432713,0.68,,,
,,,,,,,,,,,,,
3,4,4,5,124,0.04,0.047058824,0,0.030205898,0.015580756,0.85,,,
,,,,,,,,,,,,,
3,4,5,3,124,0.024,0.052631579,0,0.020100494,0.010900331,0.456,,,
,,,,,,,,,,,,,
3,5,1,4,155,0.025641026,0.04,0,0.021220665,0.01048294,0.641025641,,,
,,,,,,,,,,,,,
3,5,2,4,155,0.025641026,0.046153846,0,0.022268629,0.013434773,0.555555556,,,
,,,,,,,,,,,,,
3,5,3,3,155,0.019230769,0.166666667,0,0.022358575,0.025449877,0.115384615,,,
,,,,,,,,,,,,,
